,PA702054,PA702052,PA405480,PA267407,PA346,PA2265,PA609245,PA610615,PA334768,PA2317,PA295,PA606171,PA608826,PA2685,PA2048,PA334906,PA605518,PA340432,PA346170,PA605991,PA1991,PA609740,PA608380,PA1193,PA1199,PA1198,PA610195,PA607595,PA606888,PA1579,PA689,PA680,PA1574,PA267278,PA1226,PA330130,PA267479,PA1379,PA344114,PA243,PA394,PA610427,PA267506,PA343493,PA605745,PA334755,PA605694,PA332523,PA2277,PA605349,PA610775,PA335758,PA609691,PA2693,PA332747,PA335999,PA608186,PA223837,PA1362,PA1963,PA1960,PA267886,PA268042,PA2876,PA334116,PA607699,PA605830,PA268048,PA267080,PA1761,PA2960,PA1789,PA608235,PA643069,PA695,PA543,PA606507,PA267260,PA765,PA267266,PA606899,PA345897,PA267469,PA606258,PA606098,PA642684,PA642759,PA2191,PA331990,PA333224,PA607619,PA605076,PA1816,PA336316,PA610594,PA610701,PA1155,PA267378,PA334811,PA609042,PA607919,PA1977,PA1979,PA1770,PA610905,PA268051,PA267075,PA1152,PA608158,PA332796,PA267188,PA267327,PA267457,PA267673,PA267459,PA267695,PA607310,PA267527,PA332950,PA2430,PA332886,PA2503,PA606793,PA332228,PA345619,PA605036,PA608038,PA609520,PA605782,PA1946,PA610002,PA815,PA810,PA2859,PA1496,PA1498,PA609709,PA607892,PA267450,PA1124,PA607256,PA333285,PA1012,PA267200,PA610924,PA331146,PA607090,PA609845,PA343623,PA642910,PA606412,PA267330,PA267336,PA267689,PA335017,PA267680,PA606230,PA331567,PA267534,PA608264,PA267532,PA342935,PA605922,PA334654,PA230,PA2229,PA2083,PA2089,PA610729,PA332305,PA609332,PA609442,PA2713,PA2084,PA1838,PA2155,PA609535,PA1954,PA608920,PA608310,PA605804,PA267091,PA608172,PA1710,PA608778,PA330008,PA267057,PA610936,PA2883,PA335319,PA267835,PA610804,PA267306,PA267233,PA331835,PA642764,PA336439,PA607846,PA2099,PA2098,PA2236,PA332843,PA610481,PA334843,PA259,PA332206,PA2700,PA2707,PA923,PA609016,PA608011,PA608016,PA610125,PA2936,PA230329,PA608785,PA341339,PA331014,PA330546,PA1585,PA1214,PA1032,PA508,PA607509,PA2895,PA267042,PA610830,PA330788,PA267822,PA606745,PA606212,PA266797,PA1459,PA267317,PA606693,PA590031,PA267227,PA267551,PA267556,PA2775,PA605643,PA422119,PA1857,PA2603,PA608574,PA917,PA2600,PA606631,PA344776,PA609314,PA840,PA1931,PA1936,PA605261,PA1020,PA1029,PA608684,PA2952,PA754,PA1592,PA608686,PA267148,PA1206,PA606639,PA609816,PA267813,PA1445,PA331481,PA267499,PA606910,PA266788,PA267492,PA609218,PA609963,PA267965,PA330684,PA267785,PA267762,PA1844,PA2549,PA606924,PA2611,PA856,PA609764,PA336112,PA608363,PA330981,PA609365,PA746,PA336971,PA607632,PA608695,PA608741,PA1695,PA1699,PA606586,PA267151,PA608718,PA1477,PA607187,PA267801,PA266774,PA266776,PA607369,PA642805,PA331582,PA335054,PA605952,PA267797,PA590034,PA267576,PA590032,PA606161,PA331807,PA343408,PA267775,PA687214,PA642739,PA346876,PA331973,PA336576,PA2377,PA2597,PA1871,PA2374,PA1874,PA605069,PA606555,PA333421,PA1911,PA1466,PA2971,PA770,PA345937,PA607769,PA610075,PA267165,PA1689,PA330357,PA609775,PA608641,PA267013,PA642940,PA216574,PA1310,PA606712,PA642836,PA337504,PA607283,PA331594,PA606623,PA267585,PA314,PA267743,PA417099,PA642724,PA267204,PA2295,PA2365,PA333043,PA610681,PA693008,PA1866,PA2631,PA610066,PA609292,PA877,PA609743,PA872,PA334951,PA608434,PA608348,PA609345,PA607761,PA342415,PA672,PA610891,PA695100,PA606495,PA607691,PA1521,PA606149,PA267178,PA267598,PA606363,PA267591,PA607603,PA610203,PA695511,PA606030,PA267355,PA267358,PA609590,PA605606,PA951,PA605131,PA610654,PA1141,PA605426,PA336015,PA331753,PA605557,PA667,PA1790,PA331282,PA608083,PA606573,PA610354,PA608662,PA2828,PA607606,PA1661,PA1401,PA608120,PA330240,PA607395,PA610860,PA610313,PA607155,PA696,PA267923,PA344242,PA607553,PA339,PA335159,PA267728,PA607193,PA331924,PA642987,PA346886,PA606040,PA336421,PA2345,PA2343,PA1886,PA2124,PA942,PA609726,PA605143,PA609435,PA332015,PA588872,PA1263,PA608098,PA608416,PA335543,PA606478,PA332636,PA267605,PA331658,PA267285,PA643020,PA267289,PA643205,PA606545,PA267735,PA605703,PA267429,PA2086,PA332384,PA560,PA642885,PA328,PA610521,PA643002,PA610529,PA605625,PA2338,PA605084,PA2799,PA2792,PA998,PA2796,PA2664,PA2667,PA1748,PA342332,PA610245,PA605888,PA735,PA609205,PA607489,PA2801,PA334149,PA606991,PA1353,PA267706,PA341981,PA606665,PA330118,PA610820,PA356,PA610291,PA610539,PA605758,PA333134,PA2492,PA2250,PA2257,PA608851,PA267246,PA606202,PA610758,PA610752,PA2075,PA2073,PA2675,PA340755,PA2815,PA1630,PA341246,PA605963,PA344492,PA342539,PA1483,PA332614,PA335567,PA1182,PA608292,PA606675,PA610968,PA330613,PA267623,PA1364,PA333818,PA337483,PA267628
PA295,4,4,4,5,13,6,14,4,3,5,26,4,12,5,14,14,5,4,5,12,5,12,12,5,4,4,5,5,13,6,18,3,12,5,5,7,5,13,5,14,4,5,14,4,16,5,4,13,13,5,15,13,5,3,5,5,6,12,4,5,14,14,5,12,5,5,4,5,13,13,13,5,3,6,6,5,5,14,7,11,4,14,11,4,12,6,13,14,5,13,6,5,5,13,5,5,6,13,4,4,5,5,4,16,4,13,14,10,5,5,5,11,13,12,13,5,5,13,3,5,10,5,5,10,12,13,5,4,13,13,8,4,4,5,6,13,13,5,13,19,5,5,13,13,13,14,12,5,13,4,5,13,4,13,5,13,5,13,5,5,13,14,5,13,13,12,14,14,2,6,5,14,5,12,13,13,6,13,3,5,6,5,5,4,4,13,12,5,6,5,6,11,18,5,2,3,4,11,12,13,14,4,11,13,12,6,12,13,12,7,5,13,11,14,12,5,5,5,4,20,5,4,5,4,4,14,13,11,15,5,14,12,12,14,13,5,13,12,12,15,5,13,12,5,5,13,5,4,13,5,6,13,5,5,14,14,5,13,17,4,6,13,10,5,5,13,12,12,14,5,11,18,6,5,7,13,13,12,5,6,4,5,13,14,4,5,1,14,16,5,11,6,5,13,11,5,13,6,13,4,12,14,13,4,5,13,5,5,13,5,12,6,5,5,4,14,14,4,20,4,13,13,11,5,5,13,5,4,14,5,13,13,6,14,3,5,13,6,5,2,5,13,5,14,12,11,5,5,5,6,5,14,12,12,13,5,12,19,5,5,5,3,5,5,4,5,5,5,5,5,13,4,11,5,5,7,4,12,5,5,16,5,14,13,5,13,13,6,13,4,12,13,4,3,13,5,14,17,6,5,5,6,13,12,5,4,5,6,11,6,5,12,5,2,14,4,5,5,4,13,4,5,5,5,15,12,5,4,5,13,6,3,15,5,6,13,14,12,5,7,5,7,13,5,13,6,12,4,13,6,12,8,13,4,5,14,6,11,13,5,4,5,4,4,6,7,11,5,4,5,14,12,12,12,12,5,4,5,5,4,5,14,13,13,5,5,6,5,5,4,3,4,5,5,4,13,13,13,13,12,14,5,4,5,14,14,13,17,13,17,4,3,12,5,12,4,12,4,2,5,7,5,5,22,6,5,16
PA606171,23,7,14,18,5,18,4,17,20,18,4,56,3,18,4,4,16,17,18,6,21,6,5,18,22,15,20,20,5,18,4,39,4,18,20,23,17,3,20,4,20,10,7,21,6,16,16,4,3,19,7,4,17,16,18,14,10,4,19,18,5,4,19,3,18,18,17,18,5,6,5,17,14,17,20,17,16,3,20,5,17,5,7,15,5,13,5,4,15,5,17,15,17,5,39,18,19,5,16,14,16,24,20,3,26,4,4,3,17,17,20,6,7,7,4,23,29,7,18,16,4,18,14,5,4,5,18,18,4,5,10,15,27,20,17,4,3,19,5,3,18,18,4,5,3,4,4,22,3,18,19,7,24,4,42,4,16,3,17,33,4,6,17,3,5,4,4,2,16,22,22,5,18,6,3,5,23,5,15,18,19,19,18,15,18,4,3,16,17,26,37,5,6,19,18,13,26,4,4,6,6,17,25,5,5,18,5,5,4,21,19,7,14,4,5,37,18,20,23,3,20,18,25,21,18,5,7,4,4,17,3,7,6,3,4,18,5,5,4,3,17,4,5,16,19,5,16,17,4,26,20,4,16,19,3,4,17,4,6,18,18,4,3,17,19,5,4,5,4,11,2,4,18,17,26,6,4,3,23,18,19,18,6,4,18,18,21,3,4,15,10,39,18,7,4,18,1,23,4,20,10,4,6,20,20,12,22,11,6,20,3,17,25,19,18,3,3,17,3,17,4,5,6,18,16,6,32,24,6,22,4,4,49,6,20,18,5,20,18,14,37,4,14,5,6,13,23,18,17,20,22,13,5,5,4,16,5,5,17,18,29,30,21,18,17,23,20,20,18,31,5,19,5,27,19,33,17,7,27,18,5,17,5,5,25,5,6,17,5,17,6,4,16,32,4,25,4,5,17,33,19,17,5,4,43,29,18,22,5,28,19,4,18,16,4,42,8,23,20,4,24,18,22,18,4,2,26,17,22,6,18,19,4,18,45,5,4,4,18,17,16,9,4,18,4,26,4,17,5,21,4,23,7,21,16,4,12,6,4,21,18,20,17,16,20,18,7,15,15,17,3,5,4,5,6,19,19,14,24,27,19,5,4,7,33,19,18,18,30,18,6,20,22,19,21,5,4,4,4,4,5,18,17,18,4,3,7,4,6,5,15,17,6,18,3,18,3,16,18,18,10,18,20,8,17,18,5
PA608826,3,3,4,7,18,4,18,3,4,4,12,3,26,4,17,18,6,4,6,19,4,22,19,5,8,4,4,4,20,3,13,1,17,4,3,4,6,19,7,19,5,4,18,5,12,3,3,20,17,7,13,18,3,3,5,4,5,17,4,3,14,17,2,16,3,4,7,4,17,21,17,5,4,2,5,4,5,17,3,15,4,15,15,3,17,5,20,16,2,17,9,5,3,17,3,3,4,18,3,4,4,6,2,15,3,15,19,16,4,4,4,17,19,12,16,4,4,20,7,6,15,4,6,14,17,17,3,4,17,17,5,6,2,3,3,18,17,3,21,17,3,4,20,17,16,18,17,5,16,3,2,12,6,17,7,18,3,17,3,4,18,17,9,19,22,17,17,16,2,5,3,17,3,17,15,17,4,19,3,4,4,4,4,4,3,21,16,3,3,3,4,10,13,4,2,1,3,17,20,21,14,3,5,15,17,3,18,17,16,3,3,20,13,18,16,5,7,3,4,19,3,2,4,5,3,16,21,15,17,7,18,19,18,18,21,3,18,17,17,20,4,17,20,3,3,20,3,7,19,3,6,18,3,3,17,18,7,17,12,3,4,17,12,5,5,18,17,16,17,8,17,12,4,4,4,18,17,17,3,3,3,2,21,19,7,4,1,17,15,4,8,7,4,17,20,7,16,5,17,3,12,19,22,3,4,13,4,2,18,3,19,4,4,3,3,17,17,1,17,7,17,20,12,4,4,19,4,7,14,5,17,17,3,23,4,4,17,6,4,4,4,17,4,13,16,22,5,3,3,5,7,13,18,17,22,2,21,18,6,3,2,4,7,4,4,4,5,4,3,6,20,6,14,3,4,4,2,11,7,2,17,3,19,19,3,17,23,4,17,3,17,17,2,1,20,3,9,13,3,4,3,5,17,16,4,6,7,7,16,4,7,19,4,3,18,3,2,3,3,17,3,4,3,4,22,17,4,2,3,15,3,4,17,4,4,22,17,20,3,4,7,4,13,3,18,4,16,4,18,5,17,3,21,6,8,18,4,15,18,4,3,6,3,3,4,2,7,4,6,3,17,16,15,17,12,3,4,4,4,4,4,24,18,18,6,4,3,3,5,7,3,4,4,4,5,21,16,18,17,18,17,7,3,4,10,17,11,12,23,18,4,3,19,4,16,3,17,4,7,4,5,4,4,11,4,3,16
PA2685,17,6,16,18,4,20,5,18,18,20,5,18,4,21,5,3,17,17,17,6,20,5,6,18,16,17,20,20,6,19,7,11,4,20,19,18,18,3,20,5,18,10,5,19,6,18,16,5,4,19,7,5,18,17,19,16,11,5,18,19,6,5,18,4,19,19,16,19,6,6,6,18,15,18,19,19,17,4,19,6,18,7,7,16,4,15,6,5,16,6,17,18,18,6,19,19,19,6,18,12,18,20,17,3,19,5,3,3,19,19,20,5,6,7,5,20,19,6,14,17,4,20,14,4,5,6,19,17,5,6,11,14,18,19,18,3,3,19,6,4,19,20,5,6,4,5,5,18,4,18,18,7,18,5,20,5,18,4,18,20,5,7,17,3,5,4,3,3,14,18,19,5,19,5,3,5,19,6,15,20,19,20,20,17,18,3,4,17,18,18,20,4,6,20,15,11,17,3,5,6,5,17,18,4,5,19,5,6,5,18,18,4,5,3,5,19,20,19,19,3,19,16,20,19,18,6,6,5,5,19,3,5,5,4,5,19,6,5,5,3,19,5,5,18,18,6,17,18,5,19,19,4,17,18,4,5,19,5,5,19,19,4,3,18,17,6,5,6,5,10,2,5,19,15,18,5,3,3,19,18,19,17,6,3,19,20,8,4,5,15,12,20,20,6,4,20,2,19,5,19,6,4,4,17,20,7,20,11,5,19,4,18,19,18,18,2,4,17,4,18,5,5,5,20,18,4,19,19,6,18,5,5,19,3,17,20,6,19,20,16,20,5,12,6,6,5,20,19,18,20,20,5,6,5,4,17,4,6,18,19,17,18,20,20,19,20,20,19,19,18,6,18,4,19,20,19,16,6,18,17,6,18,3,6,18,6,6,19,6,18,5,4,17,10,5,19,5,7,19,20,19,19,6,5,20,18,20,20,5,18,20,4,20,17,5,18,8,19,16,5,18,20,19,20,4,3,20,17,19,5,19,18,5,19,20,6,5,4,18,19,17,10,4,19,3,20,5,19,6,20,4,19,6,16,10,5,12,5,3,20,18,19,18,16,20,11,8,15,14,18,4,6,5,6,6,19,19,16,19,17,20,4,5,6,13,20,19,19,20,19,6,19,19,21,17,6,5,5,5,3,6,19,18,20,5,4,6,6,5,6,15,16,5,20,4,18,4,18,16,20,10,20,20,6,17,19,6
PA2048,3,5,6,5,21,5,22,4,4,5,14,4,17,5,28,20,5,5,4,21,5,23,19,3,9,4,5,5,21,5,14,3,20,5,4,6,5,20,5,19,5,3,21,7,13,3,4,23,20,6,15,18,5,5,5,5,3,19,6,5,14,22,4,18,5,5,3,5,21,24,21,4,3,4,6,4,4,18,5,19,5,19,14,3,19,5,21,17,4,20,3,6,5,21,6,5,5,21,4,3,5,5,4,17,4,19,21,17,4,5,5,18,22,18,20,5,5,21,5,5,17,5,4,14,17,20,5,3,18,21,3,5,4,5,5,19,18,4,21,18,4,5,21,21,19,22,20,5,18,5,4,15,6,21,5,20,4,19,5,5,20,20,3,19,24,20,19,19,3,4,5,24,5,19,16,20,5,21,4,5,4,5,6,5,5,21,17,4,5,4,5,11,14,5,2,3,3,19,19,21,14,4,8,20,21,6,21,21,19,4,5,24,13,20,20,5,5,4,4,19,4,4,5,5,5,15,24,19,22,6,18,20,22,19,22,5,21,19,19,19,5,21,22,3,5,21,7,5,21,4,6,19,4,5,19,21,5,19,14,5,6,20,13,6,4,22,17,21,21,3,18,14,5,2,5,23,20,18,5,4,4,5,22,21,6,5,3,20,20,4,8,5,5,24,21,6,17,6,20,4,13,21,20,4,6,17,6,2,19,5,18,6,5,4,4,19,21,3,18,5,20,19,17,5,4,20,5,5,15,5,21,21,5,21,4,5,20,6,5,5,5,20,2,18,20,22,5,5,5,6,6,15,19,19,23,6,21,20,5,5,4,4,5,5,5,5,5,5,5,6,22,5,17,5,5,5,3,13,4,4,21,4,21,20,4,21,21,5,22,5,20,16,5,3,19,5,10,15,4,5,5,6,20,18,5,4,7,5,19,6,5,19,5,4,22,3,2,4,5,21,4,5,6,6,20,17,6,3,6,17,5,4,21,5,6,20,19,20,5,5,4,2,18,6,20,6,18,5,20,5,19,5,23,4,4,17,4,16,19,5,5,6,4,4,6,1,7,5,5,5,19,19,18,19,16,5,5,4,5,6,5,21,22,20,3,5,5,5,5,4,5,5,6,5,3,23,23,21,21,18,20,6,6,5,11,20,13,13,24,20,5,4,21,5,19,4,19,6,6,5,3,6,5,12,7,5,19
PA334906,3,8,3,4,20,4,23,3,3,3,14,4,18,3,20,48,4,4,3,28,6,22,25,2,4,3,3,3,18,3,16,1,19,3,2,3,3,20,6,20,4,4,22,4,12,2,3,19,21,3,14,18,3,3,3,4,5,17,3,5,19,19,2,16,3,3,3,3,18,20,18,2,3,4,8,3,2,21,3,18,4,18,16,2,20,3,18,17,2,23,4,4,4,18,3,3,5,20,2,3,3,3,3,16,2,18,24,17,4,3,3,18,21,17,19,4,3,35,4,7,16,4,3,13,17,17,4,3,19,20,4,3,3,4,3,20,19,2,20,18,2,3,19,18,16,23,19,2,20,4,2,14,7,21,3,18,2,19,3,3,18,21,6,18,22,19,20,18,2,4,3,21,3,19,16,22,13,18,2,3,3,3,3,3,4,22,16,3,3,2,5,15,20,3,1,1,3,18,19,19,16,3,6,22,18,3,19,18,17,3,4,23,15,23,19,4,3,3,3,21,2,2,3,3,3,15,22,16,19,3,18,22,23,21,23,3,20,21,18,19,4,18,18,2,4,18,3,4,27,2,3,19,2,3,20,19,3,18,14,2,3,19,13,3,4,27,22,19,19,4,18,17,3,3,3,20,27,18,5,3,2,2,19,28,3,3,2,21,16,3,8,3,3,23,17,7,16,6,19,2,14,25,25,3,4,17,3,2,17,3,16,3,5,3,3,24,20,2,18,3,18,24,17,3,4,27,4,7,15,2,19,19,5,31,3,4,18,5,3,5,3,20,3,15,17,24,7,6,3,4,4,15,18,18,21,2,33,21,3,3,2,3,4,3,4,4,3,3,5,3,25,3,17,3,4,4,2,13,3,2,20,4,36,20,3,21,24,3,21,4,18,15,2,3,17,3,14,13,4,4,2,5,17,20,3,3,3,4,19,4,3,19,3,3,19,2,3,3,4,18,3,3,4,3,21,17,4,2,4,16,3,3,25,3,4,20,15,23,3,3,3,3,16,3,25,4,16,3,18,4,18,3,21,3,5,19,7,28,20,3,4,3,2,3,4,1,10,3,8,2,19,17,18,22,13,4,4,3,3,4,3,35,24,22,2,4,3,3,4,3,7,5,3,3,3,21,18,20,20,19,18,4,3,3,15,21,13,13,24,18,4,3,21,7,18,3,18,3,6,3,4,3,3,12,5,5,17
PA605518,15,6,15,18,5,17,5,15,16,17,5,16,6,17,5,4,25,16,16,7,17,6,5,16,13,15,17,17,6,16,6,8,5,17,17,18,15,3,18,5,16,12,5,16,6,15,15,5,4,16,6,5,15,15,20,15,13,5,15,17,6,5,15,4,16,17,15,16,6,6,6,15,12,15,16,16,15,4,16,6,15,5,6,17,5,12,6,5,15,6,22,15,15,6,16,17,16,6,15,11,15,17,14,4,16,5,4,3,16,20,17,6,6,6,5,17,17,7,13,15,4,18,11,4,4,6,16,19,5,6,13,13,15,16,15,4,3,17,6,4,17,17,4,6,4,5,5,15,4,16,16,6,16,5,17,5,15,3,15,20,5,7,18,4,5,5,4,3,12,16,16,5,17,6,3,5,17,6,12,18,16,17,20,15,15,5,3,16,16,16,18,4,7,17,15,8,17,4,5,6,6,15,18,5,6,18,6,6,4,19,16,4,6,4,4,16,18,19,17,4,16,15,17,16,15,5,6,5,5,16,3,6,6,4,6,17,6,6,5,3,18,5,6,15,15,6,14,16,6,16,16,4,14,16,4,5,17,5,5,16,16,5,4,15,19,6,5,6,5,13,3,5,20,13,16,5,4,4,18,15,15,14,6,4,17,19,5,4,4,12,10,18,17,6,5,17,2,16,5,16,5,4,5,15,18,6,17,9,5,17,4,16,17,15,17,3,4,15,4,15,5,5,5,17,16,6,17,16,5,15,5,5,16,4,15,17,6,17,20,16,17,5,11,5,5,5,17,16,16,21,19,4,7,6,4,14,5,6,16,16,15,16,17,17,16,17,17,16,16,16,6,15,5,16,19,17,15,6,15,15,6,15,6,6,15,6,7,16,6,17,6,5,14,7,5,16,4,7,17,17,16,16,6,5,17,16,17,18,5,15,16,5,17,14,5,17,10,16,13,5,17,17,18,18,4,3,18,14,16,4,16,17,5,19,18,6,4,4,15,17,14,10,4,16,4,17,5,18,6,20,5,17,6,13,12,4,10,6,4,19,15,16,15,16,17,8,12,12,12,15,4,5,5,6,5,16,17,14,16,14,17,6,5,6,12,17,19,16,20,18,6,16,16,17,16,6,4,5,4,3,6,16,17,17,4,4,6,6,6,6,14,16,5,17,4,16,4,15,18,17,8,17,19,6,14,16,6
PA340432,16,6,17,15,4,17,7,15,19,17,4,17,4,17,5,4,16,36,15,8,19,5,7,16,17,15,18,21,6,16,5,12,4,17,16,19,15,4,19,6,15,10,5,16,7,16,13,8,4,17,7,5,15,15,21,15,10,5,21,16,7,5,16,4,16,16,15,16,6,6,6,15,12,15,18,17,14,5,16,7,17,7,7,14,5,13,6,5,16,6,19,14,15,6,23,16,17,6,15,13,15,21,16,3,17,5,3,3,16,18,18,5,6,7,5,17,16,7,13,16,4,18,13,5,5,6,16,17,5,7,12,13,16,19,15,3,3,17,6,4,17,20,6,6,4,6,5,15,5,17,16,8,17,6,23,6,15,4,16,23,6,7,22,3,6,4,5,3,13,23,19,8,15,5,5,7,21,6,14,17,16,28,26,16,18,4,4,15,16,20,24,4,5,18,16,11,16,3,7,6,5,14,19,4,5,16,5,6,5,16,16,7,7,3,5,26,20,17,19,3,16,13,23,18,18,8,8,5,5,16,3,6,6,4,6,16,7,6,5,3,21,5,5,16,17,6,14,19,6,17,16,4,15,17,5,5,17,5,5,16,17,4,3,15,17,7,6,7,5,9,2,4,20,12,16,6,4,3,20,15,20,14,7,4,16,18,10,5,6,13,10,22,17,8,4,18,2,21,5,21,6,5,6,16,18,9,20,9,6,20,4,19,19,15,16,2,5,14,4,16,5,6,6,17,16,5,20,18,6,15,5,5,26,5,18,17,6,19,20,17,23,5,12,6,6,7,20,17,16,20,20,6,6,5,4,14,4,6,15,18,17,17,17,17,18,19,19,17,18,18,7,19,5,19,22,16,14,6,17,17,6,19,4,6,18,6,7,17,6,18,5,4,16,10,5,17,4,7,17,23,19,17,6,5,19,21,17,17,6,14,17,4,17,13,5,16,7,18,18,5,18,17,24,22,6,4,18,16,20,5,19,18,6,18,28,7,9,4,16,19,14,10,4,16,3,18,5,18,6,19,4,21,7,15,12,5,14,5,3,24,17,17,16,13,26,10,7,12,12,15,4,6,6,6,6,17,20,16,23,20,18,6,6,7,19,18,19,17,22,21,6,22,20,17,24,6,5,5,5,3,7,19,16,17,4,4,6,6,9,6,19,18,6,18,4,16,4,15,14,20,8,17,17,6,15,16,6
PA346170,16,6,15,24,4,18,5,17,18,17,5,18,6,17,4,3,16,15,33,5,18,8,6,19,19,16,17,18,8,18,4,11,5,17,17,18,19,5,25,4,16,12,4,16,4,17,17,7,4,22,6,4,17,16,17,16,11,4,17,19,7,4,16,3,17,20,21,17,5,8,6,20,14,18,18,16,19,3,18,5,15,8,10,15,4,13,8,4,15,5,22,15,17,5,19,19,18,5,15,11,16,20,17,3,17,4,3,4,17,19,17,5,8,6,4,18,17,6,20,18,4,17,17,8,4,5,17,18,4,5,11,19,16,19,18,3,3,18,8,3,19,17,7,5,4,4,4,21,4,21,19,6,22,5,20,5,16,3,17,20,5,6,18,6,7,4,3,2,14,17,18,4,21,6,2,5,21,6,15,18,17,19,23,15,18,6,3,16,17,20,23,5,5,17,19,11,17,5,8,8,5,17,17,4,5,21,5,5,4,20,19,3,5,3,4,21,24,18,20,3,16,17,18,20,17,9,8,4,4,21,4,5,5,3,6,19,5,6,4,5,20,4,8,15,17,8,15,19,6,17,21,3,14,16,5,4,20,4,4,16,18,4,3,18,17,5,5,5,4,12,2,4,21,14,17,5,4,3,20,17,20,16,8,3,21,19,8,3,6,14,11,25,18,5,7,21,1,21,4,17,5,6,8,19,18,6,17,12,5,18,6,17,21,17,21,2,3,19,5,18,4,7,6,17,18,4,18,21,5,19,4,4,20,6,15,17,5,24,23,14,17,4,14,5,5,9,18,17,17,20,23,4,5,5,6,15,7,7,20,17,15,16,22,17,16,17,19,19,18,21,5,21,4,20,22,17,16,7,18,16,5,18,3,5,16,5,8,18,5,16,5,7,18,10,7,17,4,6,19,18,18,16,5,4,21,21,20,22,5,19,20,4,17,16,4,18,8,17,16,4,21,18,17,20,6,3,18,17,18,7,18,20,5,20,21,9,9,6,17,19,17,10,3,18,3,18,4,17,5,21,4,20,8,16,14,7,15,5,3,18,16,24,16,18,19,12,8,15,19,16,3,5,4,5,5,17,18,14,19,15,18,7,4,5,21,17,22,17,22,21,6,18,19,18,22,8,4,4,4,3,6,19,17,17,4,3,6,5,9,5,16,16,4,18,3,18,3,17,24,19,12,17,18,4,16,18,5
PA605991,5,7,7,7,20,6,25,5,5,6,12,6,19,6,21,28,7,8,5,64,7,28,35,7,9,5,6,7,22,6,14,5,17,6,5,7,6,19,10,20,6,3,23,7,10,4,5,27,24,7,15,18,6,6,7,7,4,17,7,6,26,19,6,16,6,6,4,7,22,26,21,5,5,7,12,6,5,22,6,19,7,19,24,4,20,7,20,16,6,27,6,6,6,21,6,6,7,20,5,3,6,7,5,18,5,22,21,18,5,6,7,17,20,22,19,6,6,51,8,10,14,6,5,17,16,20,6,4,17,20,3,6,6,7,6,18,17,6,20,18,6,6,20,21,21,21,18,7,21,6,5,17,10,21,8,23,5,19,6,8,19,23,7,20,27,18,15,16,4,7,6,20,6,18,23,28,12,22,5,6,6,6,8,6,7,24,17,6,7,5,9,17,20,6,4,4,4,21,20,21,14,6,7,18,20,6,20,20,17,5,6,30,15,17,18,10,8,5,6,18,6,6,7,6,6,18,28,18,20,7,18,24,25,16,31,6,25,26,19,17,8,19,21,4,7,20,8,6,33,5,7,18,4,6,20,19,6,19,12,5,6,17,12,7,5,30,31,20,18,3,18,14,7,4,6,26,29,18,8,5,6,5,22,25,7,6,4,17,17,5,7,7,6,25,21,12,16,9,19,6,14,26,39,6,6,22,6,2,20,6,16,6,9,7,5,17,20,5,17,6,18,20,19,6,5,34,9,7,16,5,18,19,7,30,6,6,19,7,7,7,7,22,2,16,19,43,6,6,7,7,8,16,19,20,22,7,27,27,6,6,5,5,6,6,7,7,7,7,7,7,33,6,17,7,10,6,4,13,6,5,21,6,31,21,7,22,29,6,22,7,20,13,5,4,19,7,10,20,6,8,6,7,20,21,6,6,9,6,18,8,7,21,6,5,20,5,1,6,6,19,5,6,8,6,20,17,7,6,7,16,6,5,33,9,9,23,17,24,7,5,6,2,16,6,21,6,17,7,20,10,17,6,26,6,4,19,6,19,16,7,7,8,5,5,9,1,8,5,7,6,17,18,19,22,15,7,6,5,8,7,6,33,23,23,5,7,7,6,7,6,7,8,7,6,6,25,20,19,21,17,17,9,8,6,11,17,13,13,40,20,6,5,23,7,18,5,16,6,16,6,3,6,6,11,7,6,18
